1	,	-75.34053341	,	-89.78735136	,	-31.90055641
2	,	-74.67338424	,	-88.99227394	,	-34.34666033
3	,	-86.5	,	0	,	-39.6
4	,	-85.93617011	,	9.860256956	,	-39.6
5	,	-84.25203082	,	19.59197038	,	-39.6
6	,	-81.46953745	,	29.06827251	,	-39.6
7	,	-77.62496408	,	38.16562526	,	-39.6
8	,	-72.76843059	,	46.76543071	,	-39.6
9	,	-66.96324932	,	54.75557725	,	-39.6
10	,	-60.28509969	,	62.03190111	,	-39.6
11	,	-52.82104159	,	68.49954427	,	-39.6
12	,	-44.66838043	,	74.07419112	,	-39.6
13	,	-35.93339862	,	78.6831676	,	-39.6
14	,	-26.72997001	,	82.26638866	,	-39.6
15	,	-17.17807536	,	84.77714153	,	-39.6
16	,	-7.402238233	,	86.18269472	,	-39.6
17	,	2.470098394	,	86.46472468	,	-39.6
18	,	12.31023351	,	85.61955472	,	-39.6
19	,	21.98988591	,	83.65820293	,	-39.6
20	,	31.38286651	,	80.60623853	,	-39.6
21	,	40.36672346	,	76.50344853	,	-39.6
22	,	48.82433843	,	71.40331909	,	-39.6
23	,	56.64545349	,	65.37233818	,	-39.6
24	,	63.72810843	,	58.48912887	,	-39.6
25	,	69.97997001	,	50.84342432	,	-39.6
26	,	75.31953567	,	42.53489798	,	-39.6
27	,	79.67719599	,	33.6718642	,	-39.6
28	,	82.99614222	,	24.36986617	,	-39.6
29	,	85.2331068	,	14.75016966	,	-39.6
30	,	86.35892749	,	4.93818214	,	-39.6
31	,	86.35892749	,	-4.93818214	,	-39.6
32	,	85.2331068	,	-14.75016966	,	-39.6
33	,	82.99614222	,	-24.36986617	,	-39.6
34	,	79.67719599	,	-33.6718642	,	-39.6
35	,	75.31953567	,	-42.53489798	,	-39.6
36	,	69.97997001	,	-50.84342432	,	-39.6
37	,	63.72810843	,	-58.48912887	,	-39.6
38	,	56.64545349	,	-65.37233818	,	-39.6
39	,	48.82433843	,	-71.40331909	,	-39.6
40	,	40.36672346	,	-76.50344853	,	-39.6
41	,	31.38286651	,	-80.60623853	,	-39.6
42	,	21.98988591	,	-83.65820293	,	-39.6
43	,	12.31023351	,	-85.61955472	,	-39.6
44	,	2.470098394	,	-86.46472468	,	-39.6
45	,	-7.402238233	,	-86.18269472	,	-39.6
46	,	-17.17807536	,	-84.77714153	,	-39.6
47	,	-26.72997001	,	-82.26638866	,	-39.6
48	,	-35.93339862	,	-78.6831676	,	-39.6
49	,	-44.66838043	,	-74.07419112	,	-39.6
50	,	-52.82104159	,	-68.49954427	,	-39.6
51	,	-60.28509969	,	-62.03190111	,	-39.6
52	,	-66.96324932	,	-54.75557725	,	-39.6
53	,	-72.76843059	,	-46.76543071	,	-39.6
54	,	-77.62496408	,	-38.16562526	,	-39.6
55	,	-81.46953745	,	-29.06827251	,	-39.6
56	,	-84.25203082	,	-19.59197038	,	-39.6
57	,	-85.93617011	,	-9.860256956	,	-39.6
58	,	-86.5	,	0	,	-4
59	,	-86.5	,	0	,	-12.9
60	,	-86.5	,	0	,	-21.8
61	,	-86.5	,	0	,	-30.7
62	,	-86.5	,	3.67E-16	,	4
63	,	-86.45374696	,	-2.828203017	,	2.828207758
64	,	-86.407495	,	-3.999671989	,	-2.01E-05
65	,	-86.45374528	,	-2.828414115	,	-2.828438748
66	,	-86.5	,	0	,	39.6
67	,	-86.5	,	9.18E-17	,	30.7
68	,	-86.5	,	1.84E-16	,	21.8
69	,	-86.5	,	2.76E-16	,	12.9
70	,	-85.93617011	,	9.860256956	,	39.6
71	,	-84.25203082	,	19.59197038	,	39.6
72	,	-81.46953745	,	29.06827251	,	39.6
73	,	-77.62496408	,	38.16562526	,	39.6
74	,	-72.76843059	,	46.76543071	,	39.6
75	,	-66.96324932	,	54.75557725	,	39.6
76	,	-60.28509969	,	62.03190111	,	39.6
77	,	-52.82104159	,	68.49954427	,	39.6
78	,	-44.66838043	,	74.07419112	,	39.6
79	,	-35.93339862	,	78.6831676	,	39.6
80	,	-26.72997001	,	82.26638866	,	39.6
81	,	-17.17807536	,	84.77714153	,	39.6
82	,	-7.402238233	,	86.18269472	,	39.6
83	,	2.470098394	,	86.46472468	,	39.6
84	,	12.31023351	,	85.61955472	,	39.6
85	,	21.98988591	,	83.65820293	,	39.6
86	,	31.38286651	,	80.60623853	,	39.6
87	,	40.36672346	,	76.50344853	,	39.6
88	,	48.82433843	,	71.40331909	,	39.6
89	,	56.64545349	,	65.37233818	,	39.6
90	,	63.72810843	,	58.48912887	,	39.6
91	,	69.97997001	,	50.84342432	,	39.6
92	,	75.31953567	,	42.53489798	,	39.6
93	,	79.67719599	,	33.6718642	,	39.6
94	,	82.99614222	,	24.36986617	,	39.6
95	,	85.2331068	,	14.75016966	,	39.6
96	,	86.35892749	,	4.93818214	,	39.6
97	,	86.35892749	,	-4.93818214	,	39.6
98	,	85.2331068	,	-14.75016966	,	39.6
99	,	82.99614222	,	-24.36986617	,	39.6
100	,	79.67719599	,	-33.6718642	,	39.6
101	,	75.31953567	,	-42.53489798	,	39.6
102	,	69.97997001	,	-50.84342432	,	39.6
103	,	63.72810843	,	-58.48912887	,	39.6
104	,	56.64545349	,	-65.37233818	,	39.6
105	,	48.82433843	,	-71.40331909	,	39.6
106	,	40.36672346	,	-76.50344853	,	39.6
107	,	31.38286651	,	-80.60623853	,	39.6
108	,	21.98988591	,	-83.65820293	,	39.6
109	,	12.31023351	,	-85.61955472	,	39.6
110	,	2.470098394	,	-86.46472468	,	39.6
111	,	-7.402238233	,	-86.18269472	,	39.6
112	,	-17.17807536	,	-84.77714153	,	39.6
113	,	-26.72997001	,	-82.26638866	,	39.6
114	,	-35.93339862	,	-78.6831676	,	39.6
115	,	-44.66838043	,	-74.07419112	,	39.6
116	,	-52.82104159	,	-68.49954427	,	39.6
117	,	-60.28509969	,	-62.03190111	,	39.6
118	,	-66.96324932	,	-54.75557725	,	39.6
119	,	-72.76843059	,	-46.76543071	,	39.6
120	,	-77.62496408	,	-38.16562526	,	39.6
121	,	-81.46953745	,	-29.06827251	,	39.6
122	,	-84.25203082	,	-19.59197038	,	39.6
123	,	-85.93617011	,	-9.860256956	,	39.6
124	,	-86.45374696	,	2.828203017	,	-2.828207758
125	,	-86.407495	,	3.999671989	,	2.01E-05
126	,	-86.45374528	,	2.828414115	,	2.828438748
127	,	-94.42592917	,	-61.75122491	,	-39.6
128	,	53.14604905	,	-185.5788174	,	-39.6
129	,	-87.04733026	,	-67.94260453	,	-39.6
130	,	-79.66873135	,	-74.13398416	,	-39.6
131	,	-72.29013243	,	-80.32536378	,	-39.6
132	,	-64.91153352	,	-86.51674341	,	-39.6
133	,	-57.53293461	,	-92.70812303	,	-39.6
134	,	-50.1543357	,	-98.89950266	,	-39.6
135	,	-42.77573679	,	-105.0908823	,	-39.6
136	,	-35.39713788	,	-111.2822619	,	-39.6
137	,	-28.01853897	,	-117.4736415	,	-39.6
138	,	-20.63994006	,	-123.6650212	,	-39.6
139	,	-13.26134115	,	-129.8564008	,	-39.6
140	,	-5.882742236	,	-136.0477804	,	-39.6
141	,	1.495856676	,	-142.23916	,	-39.6
142	,	8.874455587	,	-148.4305397	,	-39.6
143	,	16.2530545	,	-154.6219193	,	-39.6
144	,	23.63165341	,	-160.8132989	,	-39.6
145	,	31.01025232	,	-167.0046785	,	-39.6
146	,	38.38885123	,	-173.1960582	,	-39.6
147	,	45.76745014	,	-179.3874378	,	-39.6
148	,	-108	,	-32.64153607	,	-39.6
149	,	-107.0992483	,	-40.8662414	,	-39.6
